Period,Australia,Belgium,Brazil,Canada,China,France,Germany,Hong Kong,India,Ireland,Israel,Italy,Japan,"Korea, South",Malaysia,Mexico,Netherlands,Saudi Arabia,Singapore,Switzerland,Taiwan,United Kingdom,Vietnam,All other countries,European Union,"SouthCentral America"
1999,7955,11366,12661,219200,84637,34545,69962,14332,10449,NULL,11762,27877,147217,35971,21862,120379,13587,9925,20603,16319,38372,65800,NULL,237554,270990,88572
2000,9298,12187,15340,253312,103340,41344,75710,16015,12480,NULL,14802,31593,164972,45726,26129,148493,15708,15711,21837,18237,44272,70962,NULL,295182,306423,107261
2001,9229,12416,16065,237902,105886,41318,76754,14173,11553,NULL,13872,30101,144292,40592,23001,143981,15911,14612,17702,17784,36957,68503,NULL,283134,305896,105105
2002,9317,11862,17762,231621,129404,39625,83127,13856,13604,NULL,14007,29965,139722,41218,24659,148980,16513,14777,17346,17267,36110,67726,NULL,288294,314491,107901
2003,9351,12551,19630,246494,156976,40740,90256,13227,15080,NULL,14664,31868,137281,43642,26237,152892,18292,19617,17815,18625,35933,72108,NULL,331147,341341,121084
2004,11181,15328,23096,283382,203085,44352,101548,15059,18179,NULL,16929,35985,151993,53562,29160,172825,19528,22116,18598,21253,39817,78013,NULL,403968,387477,149809
2005,11523,15862,26401,319543,251791,47725,110075,15211,23426,NULL,19524,39767,162613,51175,34941,188385,22598,28376,19241,25727,40690,84200,NULL,469250,426347,174266
2006,12788,17603,29930,332041,298012,53100,117699,14528,28869,37630,22388,42216,174283,53560,38298,217739,25349,33095,22434,28237,44241,92171,8988,482324,464126,192783
2007,13751,18991,29896,348038,333249,58617,125945,14303,34149,44127,24312,44821,172311,55998,34449,231851,26963,37436,23177,33624,44516,99860,11137,510291,506756,199236
2008,16462,21427,35872,370870,350448,60891,133903,14183,38438,45293,26457,45935,167311,57135,32884,238005,30733,56331,21727,43960,42657,105320,13493,592200,530817,234716
2009,14265,18117,25658,252950,307347,51603,103593,10351,34076,41035,22994,35510,119490,47765,24974,195164,24247,24186,21045,36010,33252,89115,12894,441923,430508,191929
2010,14888,20211,30094,310341,377619,56562,114861,12077,44940,46124,25811,37778,147993,59293,27505,248694,28292,32580,23668,39915,41740,96034,15528,522857,474511,219494
2011,17186,22877,39196,352351,413275,59917,132881,12794,53982,52307,28174,43631,157284,67453,27416,283907,33501,48667,26247,44962,47623,101747,18194,612503,535782,262465
2012,17200,22470,39930,362007,440286,60400,144527,13783,59412,47064,27245,46679,178158,69769,27719,300878,32508,56755,27044,48281,44937,105876,20989,579442,549054,258959
2013,16292,24592,35534,369943,456195,63207,149495,14637,62554,44877,27824,48339,172444,73036,28921,305640,29759,52943,24190,51165,43987,103738,25383,535289,553971,240837
2014,17732,27174,38939,387999,484566,66084,159111,16013,68101,48379,28674,52123,170169,80514,32626,324752,31926,48237,23007,54384,47145,112054,31448,525406,599261,234935
2015,18365,25662,35155,334249,499697,66202,158863,16678,69771,55819,30477,53782,164737,82529,36103,327768,27989,23197,25232,54460,47629,115152,38947,463093,608170,200615
2016,16924,22909,32718,317084,479718,64560,149263,17092,72572,62953,28665,55174,167191,79651,38851,325713,27480,18091,25100,61520,46068,109030,43096,458858,598024,190816
2017,18617,20339,35702,341331,524144,69130,154833,18162,76958,68559,28814,60656,173129,80327,39252,346275,30467,20125,27781,66268,49744,115745,47567,497489,635124,199726
2018,18573,22340,36620,362898,558324,72413,160095,18180,83990,76027,29316,66247,178614,85328,41060,378266,38185,25684,35798,62840,53221,124396,50253,542387,687496,210033
2019,19654,24632,37469,363420,469514,78324,163947,16931,87528,84379,27073,69467,181022,89204,42759,393822,44617,14931,37219,69791,61676,128550,67681,532061,727440,203633
2020,20558,25167,27945,308988,448652,57254,146319,18137,77516,83334,21112,53996,152737,86527,45666,346681,38625,10274,39927,98972,66763,105331,80038,453320,525902,163109
2021,18849,26283,36495,403979,526413,69191,168852,16602,102400,95348,26826,67286,167172,109094,58315,417386,47466,15029,38893,94231,87247,119885,102410,603220,623402,213239
2022,25125,32231,45374,494285,563558,84868,190223,17450,118621,106172,31544,80811,188808,131987,56325,499213,49149,25007,41480,99340,106058,140080,128392,728066,728897,260732
2023,26359,28720,45922,481566,447668,85477,205884,17078,120119,108707,29714,87092,186516,132070,48840,529299,54372,17901,52115,82962,99894,151440,115812,701182,764690,261895
